period,fueltypeid,fuelTypeDescription,generation,generation-units,year,month
2024-08-01,ALL,all fuels,423536.49437,thousand megawatthours,2024,8
2024-08-01,WND,wind,28763.96196,thousand megawatthours,2024,8
2024-07-01,ALL,all fuels,430456.15612,thousand megawatthours,2024,7
2024-07-01,WND,wind,27970.5392,thousand megawatthours,2024,7
2024-07-01,SUN,solar,24200.47301,thousand megawatthours,2024,7
2024-07-01,NUC,nuclear,69885.242,thousand megawatthours,2024,7
2024-07-01,NG,natural gas,207717.35786,thousand megawatthours,2024,7
2024-07-01,HYC,conventional hydroelectric,21187.54055,thousand megawatthours,2024,7
2024-07-01,COL,"coal, excluding waste coal",70831.60498,thousand megawatthours,2024,7
2024-06-01,COL,"coal, excluding waste coal",60687.99094,thousand megawatthours,2024,6
2024-06-01,ALL,all fuels,390102.6162,thousand megawatthours,2024,6
2024-06-01,WND,wind,38160.41225,thousand megawatthours,2024,6
2024-06-01,SUN,solar,24293.63739,thousand megawatthours,2024,6
2024-06-01,NUC,nuclear,68192.147,thousand megawatthours,2024,6
2024-06-01,NG,natural gas,169307.07575,thousand megawatthours,2024,6
2024-06-01,HYC,conventional hydroelectric,21171.60308,thousand megawatthours,2024,6
2024-05-01,ALL,all fuels,345809.36837,thousand megawatthours,2024,5
2024-05-01,WND,wind,38692.58505,thousand megawatthours,2024,5
2024-05-01,SUN,solar,22209.11726,thousand megawatthours,2024,5
2024-05-01,NUC,nuclear,64972.965,thousand megawatthours,2024,5
2024-05-01,NG,natural gas,143617.82789,thousand megawatthours,2024,5
2024-05-01,HYC,conventional hydroelectric,22616.8404,thousand megawatthours,2024,5
2024-05-01,COL,"coal, excluding waste coal",45379.10854,thousand megawatthours,2024,5
2024-04-01,ALL,all fuels,309334.54159,thousand megawatthours,2024,4
2024-04-01,WND,wind,47380.86617,thousand megawatthours,2024,4
2024-04-01,SUN,solar,19101.07696,thousand megawatthours,2024,4
2024-04-01,NUC,nuclear,57621.498,thousand megawatthours,2024,4
2024-04-01,NG,natural gas,121282.09818,thousand megawatthours,2024,4
2024-04-01,HYC,conventional hydroelectric,19376.29594,thousand megawatthours,2024,4
2024-04-01,COL,"coal, excluding waste coal",36620.82028,thousand megawatthours,2024,4
2024-03-01,ALL,all fuels,324312.62866,thousand megawatthours,2024,3
2024-03-01,WND,wind,45640.82098,thousand megawatthours,2024,3
2024-03-01,SUN,solar,15840.33949,thousand megawatthours,2024,3
2024-03-01,NUC,nuclear,63345.769,thousand megawatthours,2024,3
2024-03-01,NG,natural gas,130604.32358,thousand megawatthours,2024,3
2024-03-01,HYC,conventional hydroelectric,23320.64044,thousand megawatthours,2024,3
2024-03-01,COL,"coal, excluding waste coal",37698.9842,thousand megawatthours,2024,3
2024-02-01,HYC,conventional hydroelectric,20105.30611,thousand megawatthours,2024,2
2024-02-01,WND,wind,41561.86978,thousand megawatthours,2024,2
2024-02-01,SUN,solar,12489.1304,thousand megawatthours,2024,2
2024-02-01,NUC,nuclear,64583.812,thousand megawatthours,2024,2
2024-02-01,NG,natural gas,130987.10591,thousand megawatthours,2024,2
2024-02-01,COL,"coal, excluding waste coal",43425.63584,thousand megawatthours,2024,2
2024-02-01,ALL,all fuels,320899.19991,thousand megawatthours,2024,2
2024-01-01,HYC,conventional hydroelectric,21936.00738,thousand megawatthours,2024,1
2024-01-01,COL,"coal, excluding waste coal",74938.94397,thousand megawatthours,2024,1
2024-01-01,ALL,all fuels,380434.45646,thousand megawatthours,2024,1
2024-01-01,WND,wind,34930.45708,thousand megawatthours,2024,1
2024-01-01,SUN,solar,9739.60357,thousand megawatthours,2024,1
2024-01-01,NUC,nuclear,69079.735,thousand megawatthours,2024,1
2024-01-01,NG,natural gas,160135.50524,thousand megawatthours,2024,1
2023-12-01,NUC,nuclear,68854.346,thousand megawatthours,2023,12
2023-12-01,NG,natural gas,149797.85244,thousand megawatthours,2023,12
2023-12-01,HYC,conventional hydroelectric,19027.64919,thousand megawatthours,2023,12
2023-12-01,COL,"coal, excluding waste coal",55597.08923,thousand megawatthours,2023,12
2023-12-01,ALL,all fuels,349513.4603,thousand megawatthours,2023,12
2023-12-01,WND,wind,38038.36307,thousand megawatthours,2023,12
2023-12-01,SUN,solar,9112.50704,thousand megawatthours,2023,12
2023-11-01,ALL,all fuels,320609.80918,thousand megawatthours,2023,11
2023-11-01,WND,wind,36445.37672,thousand megawatthours,2023,11
2023-11-01,SUN,solar,10446.11045,thousand megawatthours,2023,11
2023-11-01,NUC,nuclear,62257.644,thousand megawatthours,2023,11
2023-11-01,NG,natural gas,135357.71949,thousand megawatthours,2023,11
2023-11-01,HYC,conventional hydroelectric,17025.68245,thousand megawatthours,2023,11
2023-11-01,COL,"coal, excluding waste coal",50578.03306,thousand megawatthours,2023,11
2023-10-01,SUN,solar,14120.71224,thousand megawatthours,2023,10
2023-10-01,NUC,nuclear,61435.632,thousand megawatthours,2023,10
2023-10-01,NG,natural gas,140654.67524,thousand megawatthours,2023,10
2023-10-01,HYC,conventional hydroelectric,15672.55982,thousand megawatthours,2023,10
2023-10-01,COL,"coal, excluding waste coal",50446.97111,thousand megawatthours,2023,10
2023-10-01,ALL,all fuels,326549.47509,thousand megawatthours,2023,10
2023-10-01,WND,wind,36019.86504,thousand megawatthours,2023,10
2023-09-01,ALL,all fuels,360327.90586,thousand megawatthours,2023,9
2023-09-01,WND,wind,28353.33067,thousand megawatthours,2023,9
2023-09-01,SUN,solar,15582.82385,thousand megawatthours,2023,9
2023-09-01,NUC,nuclear,65559.71,thousand megawatthours,2023,9
2023-09-01,NG,natural gas,166150.87759,thousand megawatthours,2023,9
2023-09-01,HYC,conventional hydroelectric,16915.72764,thousand megawatthours,2023,9
2023-09-01,COL,"coal, excluding waste coal",59545.99745,thousand megawatthours,2023,9
2023-08-01,ALL,all fuels,422681.77382,thousand megawatthours,2023,8
2023-08-01,WND,wind,28394.17813,thousand megawatthours,2023,8
2023-08-01,SUN,solar,17744.05054,thousand megawatthours,2023,8
2023-08-01,NUC,nuclear,69744.023,thousand megawatthours,2023,8
